key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
contact_saved	Confirms their details were stored. {contact} is what they gave.	Thank you — I've passed your details to our customer service team. They will contact you on {contact}.	አመሰግናለሁ — መረጃዎን ለደንበኞች አገልግሎት ቡድናችን አስተላልፌያለሁ። በ{contact} ያገኙዎታል።	Galatoomaa — odeeffannoo keessan gara garee tajaajila maamiltootaa keenyaatti dabarseera. Lakkoofsa {contact} irratti isin qunnamu.	የቐንየለይ — ሓበሬታኹም ናብ ጋንታ ኣገልግሎት ዓማዊልና ኣመሓላሊፈዮ ኣለኹ። ብ{contact} ክረኽቡኹም እዮም።	Mahadsanid — macluumaadkaaga waxaan u gudbiyay kooxda adeegga macaamiisha. Waxay kugula soo xiriiri doonaan {contact}.	Asante — nimewasilisha taarifa zako kwa timu yetu ya huduma kwa wateja. Watawasiliana nawe kupitia {contact}.	
contact_saved_named	Same, when we also captured their name.	Thank you {name} — I've passed your details to our customer service team. They will contact you on {contact}.	አመሰግናለሁ {name} — መረጃዎን ለደንበኞች አገልግሎት ቡድናችን አስተላልፌያለሁ። በ{contact} ያገኙዎታል።	Galatoomaa {name} — odeeffannoo keessan gara garee tajaajila maamiltootaa keenyaatti dabarseera. Lakkoofsa {contact} irratti isin qunnamu.	የቐንየለይ {name} — ሓበሬታኹም ናብ ጋንታ ኣገልግሎት ዓማዊልና ኣመሓላሊፈዮ ኣለኹ። ብ{contact} ክረኽቡኹም እዮም።	Mahadsanid {name} — macluumaadkaaga waxaan u gudbiyay kooxda adeegga macaamiisha. Waxay kugula soo xiriiri doonaan {contact}.	Asante {name} — nimewasilisha taarifa zako kwa timu yetu ya huduma kwa wateja. Watawasiliana nawe kupitia {contact}.	
account_help	A security refusal: the assistant cannot see anyone's account. It must be firm but not accusing — most people asking are legitimate customers who simply expected it to work. Ends by offering general help.	For your security, I can't access individual account details in this chat. Please use the mobile banking app, visit a branch, or contact customer care. Is there anything general I can help you with?	ለደህንነትዎ ሲባል በዚህ ውይይት ውስጥ የግል ሂሳብ መረጃ ማየት አልችልም። እባክዎ የሞባይል ባንኪንግ መተግበሪያውን ይጠቀሙ፣ ቅርንጫፍ ይጎብኙ ወይም የደንበኞች አገልግሎት ያነጋግሩ። በአጠቃላይ ጉዳይ ልርዳዎት?	Nageenya keessaniif, marii kana keessatti odeeffannoo herrega dhuunfaa arguu hin danda'u. Maaloo appii baankii mobaayilaa fayyadamaa, damee daawwadhaa yookiin tajaajila maamiltootaa qunnamaa.	ንድሕነትኩም፣ ኣብዚ ዝርርብ ናይ ውልቂ ሕሳብ ሓበሬታ ክርኢ ኣይክእልን። በጃኹም ናይ ሞባይል ባንኪ መተግበሪ ተጠቐሙ፣ ጨንፈር ብጽሑ ወይ ንኣገልግሎት ዓማዊል ርኸቡ።	Amnigaaga awgiis, wadahadalkan kuma eegi karo macluumaadka xisaabta gaarka ah. Fadlan isticmaal abka bangiga mobilada, booqo laan ama la xiriir adeegga macaamiisha.	Kwa usalama wako, siwezi kufikia taarifa za akaunti binafsi katika mazungumzo haya. Tafadhali tumia programu ya benki ya simu, tembelea tawi, au wasiliana na huduma kwa wateja. Kuna kitu chochote cha jumla ninaweza kukusaidia?	
complaint_ack	For a customer reporting something wrong — theft, a failed transfer, bad service. Sympathy first, then the promise that a person will follow up.	I'm sorry you've had this experience. I've flagged your message for our customer service team so a person can follow up with you.	ስለደረሰብዎት ችግር ይቅርታ እንጠይቃለን። መልዕክትዎን ለደንበኞች አገልግሎት ቡድናችን አስተላልፌዋለሁ — አንድ ሰው በቅርቡ ያገኙዎታል።	Rakkoo isin mudateef dhiifama gaafanna. Ergaa keessan garee tajaajila maamiltootaaf dabarseera — namni tokko dhiyootti isin qunnama.	ብዘጋጠመኩም ጸገም ይቕሬታ ንሓትት። መልእኽትኹም ናብ ጉጅለ ኣገልግሎት ዓማዊል ኣመሓላሊፈዮ ኣለኹ — ሓደ ሰብ ኣብ ቀረባ ግዜ ክረኽበኩም እዩ።	Waan ka xunnahay dhibaatada kaa soo gaartay. Fariintaada waxaan u gudbiyey kooxda adeegga macaamiisha — qof ayaa dhawaan kula soo xiriiri doona.	Pole kwa usumbufu uliopata. Nimeweka alama kwenye ujumbe wako kwa ajili ya timu yetu ya huduma kwa wateja ili mtu aweze kuwasiliana nawe.	
service_issue_ack		I couldn't find steps for that in our guides, so I won't guess at a fix. I've passed the problem to our customer service team and a person can look into it with you.	ለዚህ ችግር የሚሆን መፍትሔ በመመሪያዎቻችን ውስጥ አላገኘሁም፤ ስለዚህ መገመት አልፈልግም። ችግሩን ለደንበኞች አገልግሎት ቡድናችን አስተላልፌዋለሁ — አንድ ሰው አብሮዎት ይመለከተዋል።	Rakkoo kanaaf furmaata qajeelfamoota keenya keessatti hin arganne, kanaaf tilmaamuu hin barbaadu. Rakkicha garee tajaajila maamiltootaa keenyaaf dabarseera — namni tokko isin waliin ilaala.	ነዚ ጸገም እዚ ዝኸውን መፍትሒ ኣብ መምርሒታትና ኣይረኸብኩን፡ ስለዚ ክግምት ኣይደልን። ጸገሙ ናብ ጉጅለ ኣገልግሎት ዓማዊልና ኣመሓላሊፈዮ ኣለኹ — ሓደ ሰብ ምሳኻትኩም ኮይኑ ክርእዮ እዩ።	Tallaabooyin arrintaas ku saabsan kama helin hagahayaga, sidaas darteed ma qiyaasi doono xal. Dhibaatada waxaan u gudbiyey kooxda adeegga macaamiisha — qof ayaa kula eegi kara.	Sikupata hatua za kutatua hilo katika miongozo yetu, kwa hivyo sitakisia suluhisho. Nimewasilisha tatizo kwa timu yetu ya huduma kwa wateja — mtu anaweza kulichunguza pamoja nawe.	
human_request_ack	For a customer who asked to speak to a person, when NOBODY is on duty to take the call. NOT a refusal — the request is being granted, just not this second. It must say plainly that no one is free right now: an earlier version implied a person was standing by, the customer waited for a call that could not come, and that is the failure this wording exists to prevent. Warm and brief; the contact request follows it.	Of course. Nobody from our team is free to talk right now, so I've passed your request to customer service and a person will follow up with you.	እሺ። አሁን ከቡድናችን ውስጥ በቀጥታ ሊያናግርዎት የሚችል ሰው የለም፤ ስለዚህ ጥያቄዎን ወደ ደንበኞች አገልግሎት አስተላልፌዋለሁ እና አንድ ሰው ያገኝዎታል።	Tole. Amma garee keenya keessaa namni kallattiin isin dubbisuu danda'u hin jiru, kanaaf gaaffii keessan gara tajaajila maamiltootaatti dabarseera, namni tokkos isin qunnama.	ሕራይ። ሕጂ ካብ ጉጅለና ብቐጥታ ክዛረበኩም ዝኽእል ሰብ የለን፡ ስለዚ ሕቶኹም ናብ ኣገልግሎት ዓማዊል ኣመሓላሊፈዮ ኣለኹ፡ ሓደ ሰብ ድማ ክረኽበኩም እዩ።	Waa hagaag. Hadda ma jiro qof kooxdayada ka mid ah oo toos kuula hadli kara, sidaas darteed codsigaaga waxaan u gudbiyey adeegga macaamiisha, qofna wuu kula soo xiriiri doonaa.	Bila shaka. Hakuna mtu kutoka timu yetu aliye huru kuzungumza sasa hivi, kwa hivyo nimewasilisha ombi lako kwa huduma kwa wateja na mtu atawasiliana nawe.	
human_request_live	The same request, when a banker IS on duty and the chat is about to show a card with a Connect button on it. Keep the word 'Connect' in Latin script exactly as written — it is the label printed on the button, which is not translated, and a customer told to press a word they cannot find on screen is worse off than one told nothing. No contact details are asked for after this one: the button IS the answer.	Of course — a banker is available right now. Use the Connect button just below to start a secure session with them.	እሺ — አሁን ዝግጁ የሆነ ባንከር አለ። ከእሱ ጋር ደህንነቱ የተጠበቀ ክፍለ ጊዜ ለመጀመር ከታች ያለውን «Connect» የሚለውን ቁልፍ ይጠቀሙ።	Tole — amma baankariin qophaa'e jira. Isaan waliin marii nagaa qabu jalqabuuf, qabduu «Connect» jedhu kan gadii kana fayyadamaa.	ሕራይ — ሕጂ ድሉው ዝኾነ ባንከር ኣሎ። ምስኡ ውሑስ ክፍለ-ግዜ ንምጅማር ኣብ ታሕቲ ዘሎ «Connect» ዝብል መልጎም ተጠቐሙ።	Waa hagaag — hadda waxaa diyaar ah bangi-shaqaale. Isticmaal badhanka «Connect» ee hoosta ku yaal si aad kulan ammaan ah ula bilowdo.	Bila shaka — kuna afisa wa benki anapatikana sasa hivi. Tumia kitufe cha «Connect» hapa chini kuanza kikao salama nao.	
advice_disclaimer	Legal boundary on any investment question: education, never personal advice, see a licensed advisor. The meaning must survive exactly.	Note: this is general financial education, not personal investment advice. Please speak with a licensed advisor before making investment decisions.	ማሳሰቢያ፡ ይህ አጠቃላይ የፋይናንስ ትምህርት እንጂ የግል የኢንቨስትመንት ምክር አይደለም። ውሳኔ ከማድረግዎ በፊት ፈቃድ ያለው አማካሪ ያማክሩ።	Hubachiisa: kun barnoota faayinaansii waliigalaa malee gorsa invastimantii dhuunfaa miti. Murtoo gochuu keessan dura gorsaa hayyama qabu mariisisaa.	መዘኻኸሪ፡ እዚ ሓፈሻዊ ፋይናንሳዊ ትምህርቲ እምበር ናይ ውልቂ ናይ ኢንቨስትመንት ምኽሪ ኣይኮነን። ቅድሚ ውሳነ ምግባርኩም ፍቓድ ዘለዎ ኣማኻሪ ተወከሱ።	Ogeysiis: tani waa waxbarasho maaliyadeed oo guud, ma aha talo maalgashi oo shakhsi ah. Ka hor inta aadan go'aan gaarin, la tasho lataliye shati leh.	Kumbuka: hii ni elimu ya jumla ya kifedha, si ushauri wa kibinafsi wa uwekezaji. Tafadhali zungumza na mshauri aliyeidhinishwa kabla ya kufanya maamuzi ya uwekezaji.	
fallback_intro	Introduces text quoted directly from the bank's documents, used when the AI model is unavailable. {bank} is the bank's name.	Here is what I found in {bank}'s official information:	ከ{bank} ይፋዊ መረጃ ያገኘሁት ይህ ነው፡	Odeeffannoo ifaa {bank} irraa kanan argadhe kana:	ካብ ወግዓዊ ሓበሬታ {bank} ዝረኸብክዎ እዚ እዩ፡	Waa kan waxa aan ka helay macluumaadka rasmiga ah ee {bank}:	Hii ndiyo niliyoipata katika taarifa rasmi za {bank}:	
sources_label	Heading over the list of documents an answer came from. One or two words.	Sources	ምንጮች	Maddawwan	ምንጭታት	Ilaha	Vyanzo	
comparison_intro	For 'is another bank better?'. The assistant never comments on a rival — it pivots to this bank's own strengths. Introduces text that follows.	I can't make claims about other banks, but here's what makes {bank} strong:	ስለ ሌሎች ባንኮች መግለጫ መስጠት አልችልም፣ ነገር ግን {bank}ን ጠንካራ የሚያደርገው ይህ ነው፡	Waa'ee baankilee biroo ibsa kennuu hin danda'u, garuu wanti {bank} jabeessu kanaadha:	ብዛዕባ ካልኦት ባንክታት መግለጺ ክህብ ኣይክእልን፣ እንተኾነ ን{bank} ብርቱዕ ዝገብሮ እዚ እዩ፡	Ma bixin karo faallo ku saabsan bangiyada kale, laakiin waa kan {bank} xoog ka dhigaya:	Siwezi kutoa madai kuhusu benki nyingine, lakini hivi ndivyo vinavyofanya {bank} kuwa imara:	
comparison_fallback	Same situation, when this bank has no 'why choose us' document. Declines the comparison and offers to talk about the bank instead.	I can't compare specific banks, but I'd be glad to tell you about {bank}'s accounts, services, and features — what would you like to know?	የተለዩ ባንኮችን ማወዳደር አልችልም፣ ነገር ግን ስለ {bank} ሂሳቦች፣ አገልግሎቶች እና ባህሪያት በደስታ እነግርዎታለሁ — ምን ማወቅ ይፈልጋሉ?	Baankilee addaa wal bira qabuu hin danda'u, garuu waa'ee herregaa, tajaajilaa fi amaloota {bank} gammachuudhaan isinitti himuu nan barbaada — maal beekuu barbaaddu?	ፍሉያት ባንክታት ከወዳድር ኣይክእልን፣ እንተኾነ ብዛዕባ ናይ {bank} ሕሳባት፣ ኣገልግሎታትን ባህርያትን ብሓጎስ ክነግረኩም እኽእል እየ — እንታይ ክትፈልጡ ትደልዩ?	Ma barbardhigi karo bangiyo gaar ah, laakiin waan kuu sheegi lahaa xisaabaadka, adeegyada, iyo astaamaha {bank} — maxaad rabtaa inaad ogaato?	Siwezi kulinganisha benki mahususi, lakini ningependa kukueleza kuhusu akaunti, huduma, na vipengele vya {bank} — ungependa kujua nini?	
no_contact_yet	Said INSTEAD of asking again, when we have NO way to reach them and have already asked as often as we are willing to. A statement of fact, not a question, and NOT a fresh request for a number — the customer has declined twice and must not be pestered a third time. It exists only so they are not left believing a callback is coming. Do not add an invitation to send details later: nothing is listening for them once the asking has stopped. Its own short sentence on its own line.	I don't have contact details for you, so I can't promise a call back.	የመገኛ መረጃዎ ስለሌለን፣ ተመልሶ እንደሚደወልልዎ ቃል መግባት አልችልም።	Odeeffannoo qunnamtii keessan waan hin qabneef, deebi'anii akka isiniif bilbilan waadaa galuu hin danda'u.	ናይ ርክብ ሓበሬታኹም ስለ ዘይብልና፡ ተመሊሶም ክድውሉልኩም እዮም ኢለ ቃል ክኣቱ ኣይክእልን።	Ma hayo macluumaad xiriir oo kuu gaar ah, sidaas darteed ma ballan qaadi karo in laguu soo wacayo.	Sina taarifa zako za mawasiliano, kwa hivyo siwezi kuahidi kupiga simu tena.	
								
— interface labels below —								
ui.language	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Language	ቋንቋ	Afaan	ቋንቋ	Luqadda	Lugha	
ui.ask_placeholder	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Ask about accounts, transfers, loans…	ስለ ሂሳብ፣ ገንዘብ ማስተላለፍ፣ ብድር ይጠይቁ…	Waa'ee herrega, maallaqa dabarsuu, liqii gaafadhu…	ብዛዕባ ሕሳብ፣ ገንዘብ ምትሕልላፍ፣ ልቓሕ ሕተት…	Wax ka weydii xisaabaha, wareejinta lacagta, amaahda…	Uliza kuhusu akaunti, uhamishaji, mikopo…	
ui.contact_placeholder	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Your name and phone number…	ስምዎ እና ስልክ ቁጥርዎ…	Maqaa fi lakkoofsa bilbilaa kee…	ስምካን ቁጽሪ ስልክኻን…	Magacaaga iyo lambarka taleefankaaga…	Jina lako na namba ya simu…	
ui.send	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Send	ላክ	Ergi	ስደድ	Dir	Tuma	
ui.greeting	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Selam! I'm {bank}'s AI assistant. Ask me about accounts, transfers, loans or saving — I'll follow your language automatically.	ሰላም! የ{bank} AI ረዳት ነኝ። ስለ ሂሳብ፣ ገንዘብ ማስተላለፍ፣ ብድር ወይም ቁጠባ ይጠይቁኝ — ቋንቋዎን በራሱ እከተላለሁ።	Nagaa! Ani gargaaraa AI {bank} ti. Waa'ee herrega, maallaqa dabarsuu, liqii yookaan qusannaa na gaafadhu — afaan kee ofumaan hordofa.	ሰላም! ናይ {bank} AI ሓጋዚ እየ። ብዛዕባ ሕሳብ፣ ገንዘብ ምትሕልላፍ፣ ልቓሕ ወይ ቁጠባ ሕተተኒ — ቋንቋኻ ባዕለይ እኽተል።	Salaam! Waxaan ahay kaaliyaha AI ee {bank}. Wax iga weydii xisaabaha, wareejinta lacagta, amaahda ama kaydinta — luqaddaada ayaan si toos ah u raacayaa.	Habari! Mimi ni msaidizi wa AI wa {bank}. Niulize kuhusu akaunti, uhamishaji, mikopo au akiba — nitafuata lugha yako kiotomatiki.	
ui.suggest_open_account	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	How do I open an account?	ሂሳብ እንዴት እከፍታለሁ?	Herrega akkamitti banaa?	ሕሳብ ከመይ ጌረ እኸፍት?	Sidee baan xisaab u furaa?	Ninawezaje kufungua akaunti?	
ui.suggest_loan	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	What do I need for a loan?	ለብድር ምን ያስፈልገኛል?	Liqiif maaltu na barbaachisa?	ንልቓሕ እንታይ የድልየኒ?	Maxaa amaah iiga baahan?	Ninahitaji nini kwa mkopo?	
ui.sources_official	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Official {bank} information	የ{bank} ኦፊሴላዊ መረጃ	Odeeffannoo ifaa {bank}	ወግዓዊ ሓበሬታ {bank}	Macluumaadka rasmiga ah ee {bank}	Taarifa rasmi za {bank}	
ui.searching	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Searching official information…	ኦፊሴላዊ መረጃ በመፈለግ ላይ…	Odeeffannoo ifaa barbaadaa jira…	ወግዓዊ ሓበሬታ ይድለ ኣሎ…	Waa la raadinayaa macluumaadka rasmiga ah…	Inatafuta taarifa rasmi…	
ui.can_explain	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Explain products, fees and eligibility	ስለ ምርቶች፣ ክፍያዎች እና የብቁነት መስፈርቶች ማብራራት	Waa'ee oomishaalee, kaffaltii fi ulaagaa ibsuu	ብዛዕባ ፍርያት፣ ክፍሊትን ብቕዓትን ምብራህ	Sharaxidda alaabta, khidmadaha iyo u-qalmitaanka	Kueleza bidhaa, ada na sifa za kustahiki	
ui.cannot_lookup	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Look up your own application or account records	የእርስዎን ማመልከቻ ወይም የሂሳብ መዝገብ ማየት	Galmee iyyannoo yookaan herrega kee ilaaluu	ናትካ መመልከቲ ወይ መዝገብ ሕሳብ ምርኣይ	Eegista codsigaaga ama diiwaanka xisaabtaada	Kuangalia maombi au rekodi za akaunti yako	
ui.cannot_take_id	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Take a copy of your ID or a completed form	የመታወቂያዎን ወይም የተሞላ ቅጽ ቅጂ መውሰድ	Garagalcha waraqaa eenyummaa yookaan unka guutame fudhachuu	ቅዳሕ መንነትካ ወይ ዝተመልአ ቅጥዒ ምውሳድ	Qaadashada nuqul aqoonsigaaga ama foom la buuxiyay	Kuchukua nakala ya kitambulisho chako au fomu iliyojazwa	
ui.cannot_complain	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	File a complaint or dispute on your behalf	በእርስዎ ስም ቅሬታ ወይም ክርክር ማቅረብ	Bakka bu'uudhaan komii yookaan falmii galmeessuu	ብሽምካ ጥርዓን ወይ ክርክር ምቕራብ	Gudbinta cabasho ama muran adiga oo matalaya	Kuwasilisha malalamiko au mgogoro kwa niaba yako	
